filename,doi,status,doi_source,warning
Leighton2019_ThesisUSU_The_Response_of_Utah_Lake's_Pl.pdf,10.2307/45061851,matched,title_search,
Li2021_DissertationUofU_A_Molecular_Insight_into_Harmf.pdf,10.1007/978-3-540-32210-8_2,matched,title_search,
Li2022_NitrogenULBlooms_Chemosprere_0045653522012772-.pdf,10.1016/j.chemosphere.2022.134784,matched,pdf_text,
Liljenquist2012_ThesisBYU_Study_of_Water_Quality_of_Utah.pdf,10.5040/9798216405887.ch-014,matched,title_search,
Lopez2024_GSLtracemetals_1-s2.0-S0048969724075314_STOTEN.pdf,10.1016/j.scitotenv.2024.177374,matched,pdf_text,
Lowder1951_ThesisBYU_A taxonomic study of the catostomidae of Utah Lake with notes on.pdf,10.5040/9798216405887.ch-014,matched,title_search,
McPeake2025_ThesisUSU_Evaluating Cyanotoxins in Surface Water and Aerosols Near Utah La.pdf,10.4018/978-1-4666-4241-6.ch009,matched,title_search,
Merck2023_SalinityOfGSL_deepBrineLayer_water-15-01488.pdf,10.3390/w15081488,matched,pdf_text,
Mishra2021_SatCyanoDetect_s2.0-S0048969721005301_STOTEN.pdf,10.1016/j.scitotenv.2021.145462,matched,pdf_text,
Mishra2023_CyanBloomMagnitudes2.0-S0048969723038767_STOTEN.pdf,10.1016/j.scitotenv.2023.165253,matched,pdf_text,
Nadany2025_qPCR_UtahReservoirs_1-s2.0-S0043135425002362_WaterResearch.pdf,10.1016/j.watres.2025.123322,matched,pdf_text,
Naftz2008_ANthorpogneicNutrientsMercury_1-s2.0-S0883292708001157_AppliedGeochemistry.pdf,10.1016/j.apgeochem.2008.03.002,matched,pdf_text,
Naftz2013_Monitoring Change in Great Salt Lake_EoS Transactions.pdf,10.1002/2013EO330001,matched,pdf_text,
Narteh2011_ThesisBYU_Mapping_and_Modeling_Chlorophy.pdf,10.5040/9798216405887.ch-014,matched,title_search,
Oliver2009_SeleniumRemoveSediments_1-s2.0-S0883292709000651_AppliedGeochem.pdf,10.1016/j.apgeochem.2009.02.023,matched,pdf_text,
Olsen2018_ADloads_hydrology-05-00045.pdf,10.3390/hydrology5030045,matched,pdf_text,
Olsen2018_ThesisBYU_Measuring_and_Calculating_Curr.pdf,10.5040/9798216405887.ch-014,matched,title_search,
Perschon2014_The_Great_Salt_Lake_Ecosystem_Utah_USA_l_Ecosphere.pdf,10.1890/ES13-00406.1,matched,pdf_text,
Ramsey2025_ChlaPatternsInGSL_remotesensing-17-00430.pdf,10.3390/rs17030430,matched,pdf_text,
Randall2017_ThesisBYU_Characterizing_the_Fate_and_Mo.pdf,10.5040/9798216405887.ch-014,matched,title_search,
Randall2019_UL_Sediment_PLOS1.pdf,10.1371/journal.pone.0212238,matched,pdf_text,
Reidhead2019_ThesisBYU_Significance_of_the_Rates_of_A.pdf,10.5040/9798216405887.ch-014,matched,title_search,
